DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
G;008834;EMEF;IDEMIA DE GODOY, PROFA.;GUAIANASES;GUAIANASES;;RUA ANDES;807;GUAIANAZES;08440180;25571945;25544580;;Ativa;96;LAJEADO;9605;35068718;068718;161078126000000;30/03/1990;28.629;30/03/1990;26/07/1990;07/11/1992;CHABILANDIA II;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23536549;-46406522;DIR;28/02/2017
IQ;008842;EMEF;SEBASTIAO FRANCISCO, O NEGRO;ITAQUERA;ITAQUERA;;RUA ONOFRE JORGE VELHO;260;CIDADE LIDER;08280330;27481131;27493651;;Ativa;57;PARQUE DO CARMO;5703;35068697;068697;161076163000000;30/03/1990;28.628;30/03/1990;16/08/1990;07/11/1992;CIDADE LIDER I;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTG;MT;MT;MT;MT;MT;MT;MT;MT;-23560774;-46469597;DIR;28/02/2017
G;009130;EMEI;OLGA BENARIO PRESTES;GUAIANASES;CIDADE TIRADENTES;;RUA IGARAPE FARTURA;195;COHAB INACIO MONTEIRO;08472400;25552615;25554188;25552615;Ativa;25;CIDADE TIRADENTES;2501;35068724;068724;161078171000000;03/08/1990;28.908;03/08/1990;18/02/1991;07/11/1992;CONJ. HABITACIONAL INACIO MONTEIRO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23572595;-46401801;DIR;28/02/2017
G;009148;EMEF;ALEXANDRE VANNUCHI LEME;GUAIANASES;CIDADE TIRADENTES;;RUA IGARAPE DA DIANA;60;COHAB INACIO MONTEIRO;08472170;25554046;25555119;25554046;Ativa;25;CIDADE TIRADENTES;2501;35068706;068706;161078134000000;03/08/1990;28.909;03/08/1990;18/02/1991;07/11/1992;CONJUNTO HABITACIONAL INACIO MONTEIRO I;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23572339;-46403721;DIR;28/02/2017
G;009156;EMEF;LUIS CARLOS PRESTES, SEN.;GUAIANASES;CIDADE TIRADENTES;;RUA IGARAPE GUARA;90;CONJUNTO HABITACIONAL INACIO MONTEIRO;08472120;25552118;25550660;25552094;Ativa;25;CIDADE TIRADENTES;2501;35068731;068731;161078165000000;03/08/1990;28.911;03/08/1990;18/02/1991;07/11/1992;CONJ. HABITACIONAL INACIO MONTEIRO II;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23570358;-46399528;DIR;28/02/2017
JT;009270;EMEI;DINA KUTNER DE SOUZA - DINA SFAT;JACANA/TREMEMBE;JACANA/TREMEMBE;;RUA MANUEL ARAUJO ARAGAO;317;JARDIM SANTO ALBERTO;02356170;22035927;;22044883;Ativa;81;TREMEMBE;8106;35068652;068652;161069114000000;22/08/1990;28.978;22/08/1990;20/02/1991;07/11/1992;VILA ALBERTINA;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23449273;-46609579;DIR;28/02/2017
PJ;009326;EMEF;VICTOR CIVITA;PIRITUBA;PIRITUBA;;RUA GONCALO ALDANA;385;VILA HOMERO;05184300;39411906;39281920;;Ativa;42;JARAGUA;4201;35068639;068639;161071114000000;05/09/1990;29.012;05/09/1990;18/02/1991;13/03/2001;VILA HOMERO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23451038;-46758412;DIR;28/02/2017
JT;009911;EMEI;SAVA POPOVIC;JACANA/TREMEMBE;SANTANA/TUCURUVI;;RUA FRIBURGO;12;LAUZANE PAULISTA;02440000;22318002;22318002;;Ativa;51;MANDAQUI;5102;35068640;068640;161069144000000;09/10/1990;29.102;09/10/1990;21/02/1991;07/11/1992;LAUZANE PAULISTA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23476071;-46645720;DIR;28/02/2017
IP;009971;EMEF;LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA;IPIRANGA;IPIRANGA;;ESTRADA DAS LÁGRIMAS;1029;IPIRANGA;04232000;22731677;;22155789;Ativa;68;SACOMA;6801;35068767;068767;161068135000000;16/11/1990;29.320;16/11/1990;18/02/1991;23/10/1992;HELIOPOLIS;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23610461;-46595210;DIR;28/02/2017
IP;009989;EMEI;OTAVIO JOSE DA SILVA JUNIOR;IPIRANGA;IPIRANGA;;RUA DA FANTASIA;27;CIDADE NOVA HELIÓPOLIS;04236190;22732456;;22157099;Ativa;68;SACOMA;6801;35068755;068755;161068134000000;16/11/1990;29.319;16/11/1990;08/04/1991;23/10/1992;HELIOPOLIS;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23610929;-46594880;DIR;28/02/2017
MP;010049;EMEF;CHICO FALCONI, PE.;SAO MIGUEL;ITAIM PAULISTA;;RUA BRILHO DO SOL;96;JARDIM BARTIRA;08152110;25615022;;;Ativa;84;VILA CURUCA;8407;35068676;068676;161077185000000;14/12/1990;29.429;14/12/1990;18/02/1991;13/03/2001;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MTN;MTN;MTN;MTN;MTN;-23513925;-46403226;DIR;28/02/2017
IQ;010103;EMEF;FRANCISCO ALVES MENDES FILHO - CHICO MENDES;ITAQUERA;ITAQUERA;;RUA QUINTINO DA CUNHA;22;JARDIM MARÍLIA;03579160;22545373;22545615;;Ativa;24;CIDADE LIDER;2405;35068664;068664;161076113000000;01/02/1991;29.506;01/02/1991;04/03/1991;07/11/1992;VILA MATILDE;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MTG;MT;MT;MT;MT;MT;MT;MIV;MIV;-23561994;-46495650;DIR;28/02/2017
SA;010111;EMEF;MARIO SCHONBERG, PROF.;SANTO AMARO;CIDADE ADEMAR;;RUA PAPA GREGORIO MAGNO;133;VILA MISSIONARIA;04430130;56115719;56155353;56115719;Ativa;58;PEDREIRA;5802;35068792;068792;161073151000000;01/02/1991;29.506;01/02/1991;04/03/1991;07/11/1992;SANTO AMARO I;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23690562;-46650371;DIR;28/02/2017
