DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE 
SA;093246;EMEF;MANOEL CARLOS DE FIGUEIREDO FERRAZ, DES.;SANTO AMARO;CIDADE ADEMAR;;RUA PROFESSOR CORRÊA BRITO;355;JARDIM DA PEDREIRA;04468055;56118940;56155333;;Ativa;58;PEDREIRA;5801;35053879;053879;161073149000000;03/04/1957;3.533;02/04/1957;11/02/1967;10/04/1981;1. ESCOLA MISTA MUNICIPAL BAIRRO DA PEDREIRA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23691493;-46665821;DIR;28/02/2017
SA;093254;EMEF;JOAO SUSSUMU HIRATA, DEP.;SANTO AMARO;CIDADE ADEMAR;;ESTRADA DO ALVARENGA;2113;JARDIM OFELIA;04467000;56118687;56155444;;Ativa;58;PEDREIRA;5802;35053855;053855;161073147000000;22/01/1975;11.683;07/01/1975;07/02/1975;10/04/1981;E.M. JARDIM INGAI;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;3D;MTN;MTN;MTN;MTN;MIVN;MIVN;MIVN;MIVN;MIVN;-23694701;-46655237;DIR;28/02/2017
SA;093262;EMEF;ISABEL VIEIRA FERREIRA, PROFA.;SANTO AMARO;CIDADE ADEMAR;;RUA DAS ORQUÍDEAS;130;PARQUE PRIMAVERA;04467245;56123509;;56155222;Ativa;58;PEDREIRA;5802;35054057;054057;161073144000000;31/03/1969;8.096;31/03/1969;01/01/1972;10/04/1981;PARQUE PRIMAVERA, ESCOLA MUNICIPAL DO;2D;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23694035;-46648593;DIR;28/02/2017
SA;093271;EMEF;TIRADENTES, ALF.;SANTO AMARO;CIDADE ADEMAR;;RUA SALVADOR RODRIGUES NEGRAO;602;VILA MARARI;04401160;55663331;;56784816;Ativa;22;CIDADE ADEMAR;2202;35053776;053776;161073140000000;15/02/1970;8.654;14/02/1970;14/02/1970;10/04/1981;E.M.VILA JOANIZA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MTN;-23671364;-46662040;DIR;28/02/2017
SA;093289;EMEF;PEREIRA CARNEIRO, CDE.;SANTO AMARO;SANTO AMARO;;AVENIDA JOÃO PEIXOTO VIEGAS;441;JARDIM CONSÓRCIO;04437000;56319575;;56310733;Ativa;16;CAMPO GRANDE;1604;35053843;053843;161073117000000;09/03/1961;5.097;09/03/1961;14/04/1967;10/04/1981;ESCOLAS REUNIDAS DO JARDIM CONSORCIO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23671695;-46676073;DIR;28/02/2017
CS;093297;EMEF;PLACIDO DE CASTRO;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA ANTÔNIO MESQUITA PEREIRA;78;CAPELA DO SOCORRO;04782080;56675628;;;Ativa;79;SOCORRO;7904;35054297;054297;161075161000000;16/11/1956;3.341;16/11/1956;01/01/1956;10/04/1981;1,2 ESCOLAS MISTAS DE VILA FRIBURGO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23692241;-46703197;DIR;28/02/2017
CS;093301;EMEF;HEITOR DE ANDRADE;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA DEPUTADO ADIB CHAMMAS;140;VELEIROS;04773170;56876384;55213228;56876384;Ativa;79;SOCORRO;7902;35053910;053910;161075158000000;26/11/1956;3.353;26/11/1956;24/01/1967;10/04/1981;CAPELA DO SOCORRO , ESCOLA MASCULINA DA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MTG;MT;MT;MT;MT;MT;MT;MT;-23683659;-46710722;DIR;28/02/2017
CS;093319;EMEF;ALMEIDA JUNIOR, PROF.;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA FRANCISCO MENDES;238;SOCORRO;04766050;55481138;55224479;;Ativa;79;SOCORRO;7901;35054306;054306;161075155000000;16/11/1956;3.341;16/11/1956;01/01/1956;10/04/1981;1,2,3,ESCOLAS MISTAS DA CAPELA DO SOCORRO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MTN;MTN;MTN;-23668028;-46710886;DIR;28/02/2017
CS;093327;EMEF;AFRANIO DE MELLO FRANCO, DR.;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA ACÂMBARO;39;JARDIM CLIPER;04827250;56675444;56679313;;Ativa;23;CIDADE DUTRA;2307;35054227;054227;161075101000000;04/12/1969;8.538;03/12/1969;20/02/1970;10/04/1981;E.M. DO JARDIM CLIPER;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23722652;-46701895;DIR;28/02/2017
CS;093335;EMEF;JOAO DE DEUS CARDOSO DE MELLO;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA MANOEL VITORINO PEREIRA;220;JORDANÓPOLIS;04830020;59289188;59280884;;Ativa;23;CIDADE DUTRA;2307;35054264;054264;161075110000000;12/02/1971;9.300;11/02/1971;02/08/1971;10/04/1981;E.M. DO JARDIM JORDANOPOLIS;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23732407;-46699498;DIR;28/02/2017
CS;093343;EMEF;OLEGARIO MARIANO;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA ANTONIO BORGES DA FONSECA;15;JARDIM FLORESTA;04836120;59394901;59717216;59717216;Ativa;23;CIDADE DUTRA;2308;35054343;054343;161075120000000;04/09/1975;12.197;03/09/1975;10/11/1975;10/04/1981;E.M.P.G. VILA ROSALINA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23740669;-46709127;DIR;28/02/2017
CS;093351;EMEF;MILTON FERREIRA DE ALBUQUERQUE, PROF.;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA GEORGINA BOCCHIGLIERI;55;JARDIM BEATRIZ;04835250;59716565;5972-0043;;Ativa;23;CIDADE DUTRA;2308;35054331;054331;161075118000000;09/12/1969;8.553;08/12/1969;20/02/1970;10/04/1981;E.M. DO JARDIM ROSALINA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23737711;-46707351;DIR;28/02/2017
CS;093360;EMEF;ELIZA RACHEL MACEDO DE SOUZA, PROFA.;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA CONSTELACAO DO ERIDANO;24;JARDIM CAMPINAS;04858580;55267593;55262053;;Ativa;30;GRAJAU;3004;35054252;054252;161075127000000;04/09/1975;12.197;03/09/1975;09/10/1975;10/04/1981;JARDIM CAMPINAS;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTNG;MTNG;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23771868;-46705439;DIR;28/02/2017
CS;093378;EMEF;MANOEL DE ABREU, DR.;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA GENERAL RENATO VARANDAS DE AZEVEDO;377;JARDIM TRES CORACOES;04855280;55284975;55285303;;Ativa;30;GRAJAU;3006;35053971;053971;161075144000000;04/09/1975;12.197;03/09/1975;20/11/1975;10/04/1981;E.M.P.G. JARDIM TRES CORACOES;3D;3D;3D;3D;3D;3D;3D;3D;3D;3D;3D;MIVN;MIVN;MIVN;MIVN;MIVN;MIVN;MIVN;MIVN;MIVN;-23770234;-46684983;DIR;28/02/2017
CS;093386;EMEF;JOAQUIM BENTO ALVES DE LIMA NETO;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA SÃO JOSÉ DO RIO PRETO;17;CONJUNTO HABITACIONAL BRIGADEIRO FARIA L;04840460;55281919;;55283189;Ativa;30;GRAJAU;3007;35054276;054276;161075138000000;20/04/1974;10.986;19/04/1974;22/04/1974;10/04/1981;E.M. BORORE;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23755783;-46683476;DIR;28/02/2017
CS;093394;EMEF;TEODOMIRO TOLEDO PIZA, DES.;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA PELAGIA STARBULOV;324;PARQUE GRAJAU;04843590;59714682;;59285974;Ativa;30;GRAJAU;3002;35054215;054215;161075149000000;02/04/1957;3.530;02/04/1957;01/05/1957;10/04/1981;ESCOLA MISTA MUNICIPAL DO SHANGRI-LA;2D;2D;3D;3D;2D;2D;3D;3D;3D;3D;3D;MTN;MTN;MIVN;MIVN;MTN;MTN;MIVN;MIVN;MIVN;-23744988;-46691505;DIR;28/02/2017
CS;093408;EMEF;PAULO SETUBAL;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA FRANCISCO DE CALDAS;50;JARDIM ANA LUCIA;04812170;56616313;56613114;;Ativa;23;CIDADE DUTRA;2304;35054288;054288;161075121000000;;;;06/09/1967;10/04/1981;ESCOLA ISOLADA DE VILA SAO BENEDITO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23716522;-46690190;DIR;28/02/2017
CS;093416;EMEF;JOSE AMADEI, ENG.;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA RAIMUNDO LOPES;115;JARDIM SATELITE;04816090;56674953;56674466;;Ativa;23;CIDADE DUTRA;2304;35054240;054240;161075113000000;;;;24/02/1968;10/04/1981;JARDIM IV CENTENARIO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23704091;-46686269;DIR;28/02/2017
CS;093424;EMEF;MIGUEL VIEIRA FERREIRA, DR.;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;PRACA ESCOLAR;S/N;CIDADE DUTRA;04810140;56690999;56665154;;Ativa;23;CIDADE DUTRA;2303;35054239;054239;161075115000000;20/03/1957;3.504;20/03/1957;01/01/1958;10/04/1981;ESCOLA MISTA DA CIDADE DUTRA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23709399;-46699120;DIR;28/02/2017
IQ;093432;EMEF;CORREIA DE MELLO, BRIG.;ITAQUERA;ITAQUERA;;RUA GALEANDRA;S/N;JARDIM FERNANDES;03577040;27418263;27411290;27418263;Ativa;24;CIDADE LIDER;2402;35055300;055300;161076105000000;14/01/1971;9.252;14/01/1971;17/02/1971;10/04/1981;VILA ELIANE;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23551566;-46503063;DIR;28/02/2017
IQ;093441;EMEF;CARLOS CHAGAS;ITAQUERA;ITAQUERA;;AVENIDA OSVALDO VALLE CORDEIRO;337;JARDIM BRASILIA;03584000;27411742;;;Ativa;24;CIDADE LIDER;2403;35055359;055359;161076101000000;14/02/1970;8.654;14/02/1970;16/03/1970;10/04/1981;JARDIM BRASILIA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23555972;-46491620;DIR;28/02/2017
IQ;093459;EMEF;EDUARDO PRADO;ITAQUERA;ITAQUERA;;RUA BENTO TEIXEIRA;100;JARDIM BRASILIA;03583170;27411212;27472718;;Ativa;24;CIDADE LIDER;2405;35055360;055360;161076110000000;03/09/1975;12.197;03/09/1975;17/03/1976;10/04/1981;JARDIM MARILIA;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23563659;-46492652;DIR;28/02/2017
IQ;093467;EMEF;DANYLO JOSE FERNANDES;ITAQUERA;ITAQUERA;;AVENIDA FRANCISCO MUNHOZ FILHO;431;CIDADE LÍDER;08280000;27486358;27475501;27486358;Ativa;24;CIDADE LIDER;2403;35055335;055335;161076107000000;27/03/1969;8.076;27/03/1969;30/03/1969;10/04/1981;JARDIM IBIRAPUERA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23554718;-46465157;DIR;28/02/2017
IQ;093475;EMEF;AYRES MARTINS TORRES;ITAQUERA;ITAQUERA;;RUA CATARINA LOPES;428;ITAQUERA;08225000;22056385;;;Ativa;37;ITAQUERA;3706;35055293;055293;161076125000000;12/02/1971;9.306;11/02/1971;02/03/1971;10/04/1981;E.M. VILA REGINA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23530040;-46459002;DIR;28/02/2017
IQ;093483;EMEF;HAROLDO VELOSO, BRIG.;ITAQUERA;ITAQUERA;;RUA MARCELINO DA SILVA;50;ITAQUERA;08210530;20790288;22056219;;Ativa;37;ITAQUERA;3703;35055311;055311;161076127000000;02/04/1957;3.530;02/04/1957;14/11/1969;10/04/1981;1. E 2. ESC. MISTA DE VILA SUDAN PAULISTA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23532310;-46444314;DIR;28/02/2017
IQ;093491;EMEF;ARTUR NEIVA;ITAQUERA;ITAQUERA;;AVENIDA NOSSA SENHORA DE GUADALUPE;212;JARDIM HELENA;08420130;25579095;25544530;;Ativa;47;JOSE BONIFACIO;4702;35055207;055207;161076141000000;14/02/1975;11.768;13/02/1975;18/02/1975;10/04/1981;E.M. JARDIM SAO PEDRO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23539447;-46428460;DIR;28/02/2017
IQ;093505;EMEF;BENEDITO CALIXTO;ITAQUERA;ITAQUERA;;RUA LUÍS MEDEIROS DA SILVA;195;JARDIM SÃO PEDRO;08420650;25544548;25578194;;Ativa;47;JOSE BONIFACIO;4702;35055189;055189;161076144000000;20/01/1961;5.048;20/01/1961;01/10/1967;10/04/1981;ESCOLA ISOLADA JARDIM HELENA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23547123;-46429696;DIR;28/02/2017
G;093513;EMEF;JOAO DE LIMA PAIVA, PROF.;GUAIANASES;GUAIANASES;;RUA GETULINA;278;GUAIANASES;08450020;25544545;25578176;;Ativa;96;LAJEADO;9608;35055190;055190;161078129000000;08/12/1969;8.552;08/12/1969;02/01/1970;10/04/1981;E.M. DA ESTRADA DO LAGEADO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23541621;-46412502;DIR;28/02/2017
G;093521;EMEF;VINTE E CINCO DE JANEIRO;GUAIANASES;GUAIANASES;;RUA CARANAÍBA;58;GUAIANAZES;08412010;25578121;25578121;25571953;Ativa;31;GUAIANASES;3102;35055281;055281;161078114000000;10/03/1970;8.708;10/03/1970;03/04/1970;10/04/1981;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23544735;-46409816;DIR;28/02/2017
G;093530;EMEF;JOANA ANGELICA DE JESUS, MADRE;GUAIANASES;GUAIANASES;;RUA TORRE DE SANTIAGO;425;GUAIANASES;08460180;25578088;25575726;;Ativa;31;GUAIANASES;3103;35055220;055220;161078101000000;;;;20/09/1960;10/04/1981;ESCOLAS AGRUPADAS DE VILA POPULAR;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23548973;-46400624;DIR;28/02/2017
G;093548;EMEF;SATURNINO PEREIRA;GUAIANASES;CIDADE TIRADENTES;;ESTRADA IGUATEMI;4977;JARDIM PEDRA BRANCA;08490500;25559379;25558181;25558181;Ativa;25;CIDADE TIRADENTES;2508;35055268;055268;161078178000000;15/02/1970;8.654;14/02/1970;27/08/1970;10/04/1981;E.M. PEDREIRA - GUAIANASES;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23564960;-46416057;DIR;28/02/2017
SM;093556;EMEF;FELICIO PAGLIUSO, PROF.;SAO MATEUS;SAO MATEUS;;RUA ABNER RIBEIRO BORGES;224;JARDIM ROSELI;08380045;27312791;;27313203;Ativa;33;IGUATEMI;3305;35055448;055448;161080112000000;30/01/1969;7.950;29/01/1969;04/03/1969;10/04/1981;E.M. DO JARDIM ROSELY;2D;2D;2D;3D;3D;3D;3D;3D;3D;3D;3D;MT;MT;MT;MIV;MIV;MIV;MIV;MIV;MIV;-23596295;-46441596;DIR;28/02/2017
SM;093564;EMEF;JOAQUIM OSORIO DUQUE ESTRADA;SAO MATEUS;SAO MATEUS;;RUA PRIMO BAUDINI;441;JARDIM AUGUSTO;08371120;27312404;;27312722;Ativa;33;IGUATEMI;3306;35070208;070208;161080117000000;12/08/1977;14.655;12/08/1977;02/09/1977;10/04/1981;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23599475;-46447692;DIR;28/02/2017
SM;093572;EMEF;COELHO NETO;SAO MATEUS;SAO MATEUS;;RUA DIOGO GARCIA;128;PARQUE BOA ESPERANCA;08370030;27312970;27319011;;Ativa;33;IGUATEMI;3306;35055402;055402;161080110000000;16/11/1973;10.731;16/11/1973;01/02/1974;10/04/1981;E.M. PARQUE BOA ESPERANCA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MT;MT;MT;MT;MTN;-23598777;-46453876;DIR;28/02/2017
SM;093581;EMEF;PLINIO DE QUEIROZ;SAO MATEUS;SAO MATEUS;;RUA MANUEL HENRIQUES DE PAIVA;S/N;PARQUE BOA ESPERANCA;08410080;27311596;;27313180;Ativa;33;IGUATEMI;3307;35087191;087191;161080118000000;02/12/1982;18.447;02/12/1982;18/03/1983;10/04/1981;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23602102;-46453208;DIR;28/02/2017
SM;093599;EMEF;JOSE MARIA WHITAKER;SAO MATEUS;SAO MATEUS;;AVENIDA SATELITE;688;CIDADE SATELITE SANTA BARBARA;08330480;29192397;;20191133;Ativa;73;SAO MATEUS;7304;35055372;055372;161080128000000;24/11/1970;9.159;24/11/1970;01/02/1971;10/04/1981;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23611316;-46464997;DIR;28/02/2017
SM;093602;EMEF;RODRIGO MELLO FRANCO DE ANDRADE;SAO MATEUS;SAO MATEUS;;AVENIDA JOSÉ VELHO BARRETO;371;PARQUE COLONIAL;03968080;29190409;;20153176;Ativa;73;SAO MATEUS;7302;35055475;055475;161080134000000;30/01/1969;7.950;29/01/1969;05/03/1969;10/04/1981;E.M. DO JARDIM COLONIAL;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MIVN;MIVN;MIVN;MIVN;MIVN;-23605466;-46471567;DIR;28/02/2017
SM;093611;EMEF;RIVADAVIA MARQUES JUNIOR, PROF.;SAO MATEUS;SAO MATEUS;;RUA DOUTOR PAULO QUEIROZ;955;JARDIM NOVE DE JULHO;03951090;20108899;29193114;;Ativa;73;SAO MATEUS;7301;35055463;055463;161080131000000;21/01/1975;11.713;20/01/1975;25/02/1975;10/04/1981;E.M. JARDIM NOVE DE JULHO;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MIV;MIV;MIV;MIV;MIV;-23588803;-46486101;DIR;28/02/2017
IQ;093629;EMEF;AURELIO ARROBAS MARTINS, PROF.;ITAQUERA;ITAQUERA;;AVENIDA AFONSO DE SAMPAIO E SOUSA;2051;ITAQUERA;08270001;27480271;27484643;;Ativa;57;PARQUE DO CARMO;5703;35055438;055438;161076160000000;06/03/1961;5.087;06/03/1961;06/03/1961;10/04/1981;ESCOLAS ISOLADAS N.SRA. DO CARMO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MTN;MTN;MTN;-23575371;-46479328;DIR;28/02/2017
G;093637;EMEFM;OSWALDO ARANHA BANDEIRA DE MELLO;GUAIANASES;CIDADE TIRADENTES;;AVENIDA DOS METALURGICOS;1155;CIDADE TIRADENTES;08471000;22822125;29649382;22822125;Ativa;25;CIDADE TIRADENTES;2505;35091424;091424;161078136000000;23/08/1984;20.090;23/08/1984;05/10/1984;26/03/1986;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23592691;-46406484;DIR;28/02/2017
G;093645;EMEF;MAURICIO GOULART;GUAIANASES;CIDADE TIRADENTES;;RUA RENE DE TOLEDO;700;CIDADE TIRADENTES;08471740;22820040;;25160390;Ativa;25;CIDADE TIRADENTES;2507;35091406;091406;161078168000000;23/08/1984;20.090;23/08/1984;22/02/1985;16/03/1991;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23599861;-46401950;DIR;28/02/2017
G;093653;EMEF;VLADIMIR HERZOG;GUAIANASES;CIDADE TIRADENTES;;RUA FRANCISCO JOSE VIANA;894;CIDADE TIRADENTES;08471530;29645686;22821355;22821297;Ativa;25;CIDADE TIRADENTES;2507;35091418;091418;161078172000000;23/08/1984;20.090;23/08/1984;08/01/1985;26/03/1986;WLADIMIR HERZOG;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23609879;-46397962;DIR;28/02/2017
PE;093661;EMEF;OCTAVIO MANGABEIRA;PENHA;ERMELINO MATARAZZO;;RUA PAULO BIFANO ALVES;658;PARQUE BOTURUSSU;03801000;25464145;;25470282;Ativa;28;ERMELINO MATARAZZO;2803;35055153;055153;161074192000000;16/11/1956;3.341;16/11/1956;24/05/1968;10/04/1981;1,2 ESC. MISTAS E ESC. MASC. DO PQE BOTURUSSU;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTG;MTNG;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23503430;-46484716;DIR;28/02/2017
PE;093670;EMEF;AMADEU AMARAL;PENHA;ERMELINO MATARAZZO;;PRACA DOUTOR TOLOZA DE OLIVEIRA;37;JARDIM TRES MARIAS;03676090;20429134;22802017;;Ativa;64;PONTE RASA;6402;35055116;055116;161074200000000;11/01/1961;5.040;11/01/1961;11/01/1961;10/04/1981;ESCOLAS REUNIDAS DO JARDIM TRES MARIAS;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23519542;-46493891;DIR;28/02/2017
MP;093688;EMEF;PEDRO ALEIXO, DR.;SAO MIGUEL;SAO MIGUEL;;RUA PAU D ARCOROXO;340;JARDIM PEDRO JOSE NUNES;08061030;22972722;20370421;22972722;Ativa;87;VILA JACUI;8703;35055621;055621;161077145000000;21/05/1975;11.713;20/01/1975;14/03/1975;10/04/1981;E.M. PEDRO JOSE NUNES;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MIV;MIV;MIV;MIV;MIV;-23501429;-46464675;DIR;28/02/2017
MP;093696;EMEF;EPITACIO PESSOA, PRES.;SAO MIGUEL;SAO MIGUEL;;RUA LÍBERO ANCONA LOPES;169;PARQUE CRUZEIRO DO SUL;08070280;22970192;20370226;;Ativa;87;VILA JACUI;8702;35055712;055712;161077140000000;16/11/1956;3.341;16/11/1956;24/03/1968;10/04/1981;ESCOLA MISTA DO PARQUE CRUZEIRO DO SUL;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23496888;-46461635;DIR;28/02/2017
MP;093700;EMEF;RAUL PILLA;SAO MIGUEL;SAO MIGUEL;;RUA PADRE ORLANDO NOGUEIRA;139;LIMOEIRO;08051560;20492370;22800020;;Ativa;87;VILA JACUI;8706;35055748;055748;161077151000000;02/04/1957;3.530;02/04/1957;02/04/1957;10/04/1981;ESCOLA MISTA MUNICIPAL DA VILA MONTE SANTO;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23511389;-46466533;DIR;28/02/2017
IQ;093718;EMEF;ANTONIO DUARTE DE ALMEIDA, PROF.;ITAQUERA;ITAQUERA;;RUA TREVO DE SANTA MARIA;1;PARQUE GUARANI;08235560;20534430;20525777;;Ativa;37;ITAQUERA;3707;35055414;055414;161076122000000;01/02/1972;9.830;31/01/1972;16/02/1972;10/04/1981;E.M. PARQUE GUARANI;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTNG;MTNG;MT;MT;MT;MT;MT;MT;MT;-23520689;-46461211;DIR;28/02/2017
MP;093726;EMEF;PEDRO TEIXEIRA;SAO MIGUEL;SAO MIGUEL;;RUA DOM FRANCISCO DE CAMPOS BARRETO;51;JARDIM SANTANA;08050120;20536688;20540273;20544737;Ativa;87;VILA JACUI;8707;35055700;055700;161077148000000;25/08/1956;3.212;25/08/1956;01/09/1956;10/04/1981;ESCOLA MISTA DE VILA JACUI;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTG;MTG;MT;MT;MT;MT;MT;MT;MTN;-23512718;-46456224;DIR;28/02/2017
MP;093734;EMEF;ANTONIO CARLOS DE ANDRADA E SILVA;SAO MIGUEL;SAO MIGUEL;;RUA BALTAZAR SANTANA;365;JARDIM PLANALTO;08040420;20541899;;20544800;Ativa;87;VILA JACUI;8707;35055759;055759;161077137000000;04/09/1975;12.197;03/09/1975;03/09/1975;10/04/1981;SITIO DA CASA PINTADA;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;3D;MT;MT;MTN;MTN;MIVN;MIVN;MIVN;MIVN;MIVN;-23508692;-46447153;DIR;28/02/2017
MP;093742;EMEF;LUIS SAIA, ARQ.;SAO MIGUEL;SAO MIGUEL;;RUA AMERICO GOMES DA COSTA;93;VILA AMERICANA;08010120;20372056;22970628;20372056;Ativa;74;SAO MIGUEL;7405;35055608;055608;161077127000000;16/11/1956;3.341;16/11/1956;20/02/1958;10/04/1981;1,2 ESCOLA MISTA DE SAO MIGUEL PAULISTA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTN;MTNG;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23494392;-46440185;DIR;28/02/2017
